MEETPUNT_IDENTIFICATIE,LOCATIE_CODE,GROOTHEID_OMSCHRIJVING,WAARNEMINGDATUM,REFERENTIE,NUMERIEKEWAARDE
Driel boven,DRIELBVN,Temperatuur,02-01-2019,16:10:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,16:20:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,16:30:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,16:40:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,16:50:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,17:00:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,17:10:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,17:20:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,17:30:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,17:40:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,17:50:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,18:00:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,18:10:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,18:20:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,18:30:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,18:40:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,18:50:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,19:00:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,19:10:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,19:20:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,19:30:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,19:40:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,19:50:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,20:00:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,20:10:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,20:20:00,"6,7"
