MEETPUNT_IDENTIFICATIE,LOCATIE_CODE,WAARNEMINGDATUM,Average Temperatuur
Borgharen stuw.,BORGHRSW,22-07-2019,23.0
Borgharen stuw.,BORGHRSW,22-07-2020,22.0
Borgharen stuw.,BORGHRSW,22-08-2019,21.0
Borgharen stuw.,BORGHRSW,22-08-2020,24.0
Borgharen stuw.,BORGHRSW,22-09-2020,19.8
Borgharen stuw.,BORGHRSW,22-11-2019,7.0
Borgharen stuw.,BORGHRSW,23-02-2019,8.0
Borgharen stuw.,BORGHRSW,23-02-2020,8.0
Borgharen stuw.,BORGHRSW,23-03-2019,10.0
Borgharen stuw.,BORGHRSW,23-03-2020,10.0
Borgharen stuw.,BORGHRSW,23-04-2020,16.0
Borgharen stuw.,BORGHRSW,23-05-2019,17.0
Borgharen stuw.,BORGHRSW,23-05-2020,20.0
Borgharen stuw.,BORGHRSW,23-06-2019,22.263157894736842
Borgharen stuw.,BORGHRSW,23-06-2020,23.0
Borgharen stuw.,BORGHRSW,23-07-2019,23.0
Borgharen stuw.,BORGHRSW,23-07-2020,22.0
Borgharen stuw.,BORGHRSW,23-08-2019,21.2
Borgharen stuw.,BORGHRSW,23-08-2020,24.0
Borgharen stuw.,BORGHRSW,23-10-2020,14.0
Borgharen stuw.,BORGHRSW,23-11-2019,7.0
Borgharen stuw.,BORGHRSW,23-12-2019,9.0
Borgharen stuw.,BORGHRSW,23-12-2020,9.714285714285714
Borgharen stuw.,BORGHRSW,24-01-2020,6.0
Borgharen stuw.,BORGHRSW,24-03-2019,10.0
Borgharen stuw.,BORGHRSW,24-03-2020,10.0
Borgharen stuw.,BORGHRSW,24-04-2019,16.0
Borgharen stuw.,BORGHRSW,24-04-2020,17.0
Borgharen stuw.,BORGHRSW,24-05-2019,17.0
Borgharen stuw.,BORGHRSW,24-06-2019,23.5
Borgharen stuw.,BORGHRSW,24-06-2020,23.0
Borgharen stuw.,BORGHRSW,24-07-2019,24.0
Borgharen stuw.,BORGHRSW,24-07-2020,22.0
Borgharen stuw.,BORGHRSW,24-08-2019,22.0
Borgharen stuw.,BORGHRSW,24-08-2020,23.0
Borgharen stuw.,BORGHRSW,24-09-2019,18.0
Borgharen stuw.,BORGHRSW,24-09-2020,19.0
Borgharen stuw.,BORGHRSW,24-10-2019,15.0
Borgharen stuw.,BORGHRSW,24-10-2020,14.0
Borgharen stuw.,BORGHRSW,24-11-2019,8.0
Borgharen stuw.,BORGHRSW,24-12-2020,9.0
Borgharen stuw.,BORGHRSW,25-01-2020,6.0
Borgharen stuw.,BORGHRSW,25-03-2019,10.0
Borgharen stuw.,BORGHRSW,25-03-2020,10.0
Borgharen stuw.,BORGHRSW,25-04-2019,16.0
Borgharen stuw.,BORGHRSW,25-04-2020,17.0
Borgharen stuw.,BORGHRSW,25-05-2020,19.0
Borgharen stuw.,BORGHRSW,25-06-2019,24.333333333333332
Borgharen stuw.,BORGHRSW,25-06-2020,23.933333333333334
Borgharen stuw.,BORGHRSW,25-07-2019,25.333333333333332
Borgharen stuw.,BORGHRSW,25-07-2020,22.0
Borgharen stuw.,BORGHRSW,25-08-2019,22.0
Borgharen stuw.,BORGHRSW,25-08-2020,22.0
Borgharen stuw.,BORGHRSW,25-09-2019,18.0
Borgharen stuw.,BORGHRSW,25-09-2020,18.0
